key,value
size,尺寸
sampler,采样器
prompt,文本描述
default prompt,"一只可爱的猫"
negative_prompt,负向词
seed,种子
cfg,CFG系数
infer steps,采样步数
batch size,批大小
width cond,宽度条件
height cond,高度条件
enhance,文本增强
run,提交生成
square,方形(1024x1024)
portrait,竖屏(1216x832)
landscape,横屏(832x1216)
accordion,高级设置
generated image,生成
examples,更多示例
title,HunYuanDiT
desc,具有细粒度中文理解的高性能多分辨率 Diffusion Transformer 模型
controlnet,条件控制网络
controlnet_model,模型列表
Control_Weight,控制网络权重
input image,输入图片
model_list,模型列表
dit_model,dit模型
width,width
height,height
Crop_mode,裁剪方式
Resize,仅缩放
Crop_and_Resize,裁剪并缩放
Resize_and_Fill,缩放并填充
lora_list,lora